release_year,runtime_minutes,success_class,log_budget,log_google_trends_average,is_summer_release,is_holiday_release,genre_count,is_franchise,num_production_companies,country_count,language_count,is_english,director_avg_gross,writer_avg_gross,creative_type_encoded,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Multiple Genres,genre_Musical,genre_Reality,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Unknown,genre_Western,primary_genre_encoded
2015,125.0,1.0,20.094407148144295,3.033711521619207,0,1,1,1,2,2,1,1,0.0,0.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,125.0,1.0,19.806975107572256,3.5608627813479248,0,0,1,1,1,2,1,1,19.344181226915687,20.98654688182558,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,125.0,1.0,19.806975107572256,3.6676887671342975,0,1,1,1,3,2,1,1,19.730425897265807,19.67837617869321,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,125.0,1.0,19.806975107572256,3.3275855643189094,0,1,1,1,1,2,1,1,19.95988304927625,19.849985900025587,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,105.0,0.0,19.806975107572256,3.033711521619207,1,0,1,0,0,1,1,0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2011,125.0,1.0,19.753046765685223,3.0642949449912877,1,0,1,1,1,2,1,1,18.766659490034026,19.321301114934986,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,125.0,1.0,19.71540791428649,3.7936752942435086,0,0,1,1,1,2,1,1,19.325545868899393,20.463046385522105,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,125.0,1.0,19.644456178515657,3.1940541716943867,1,0,1,1,6,2,1,1,17.590219617332938,19.536707464040468,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,125.0,0.0,19.61581460263773,3.5870967598039942,1,0,1,1,1,2,1,1,18.67432389240159,19.62708024263949,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,105.0,1.0,19.519293035953808,3.299414687352213,0,0,1,0,0,1,1,0,18.82017483170953,20.75971691886821,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
